Level1: 10.44 seconds
Level1: 1 deaths
Level2: 17.89 seconds
Level2: 3 deaths
Level2: 8.39 seconds
Level2: 0 deaths
Level2: 6.58 seconds
Level2: 0 deaths
Level1: 9.19 seconds
Level1: 2 deaths
Level2: 4.98 seconds
Level2: 0 deaths
Level3: 10.67 seconds
Level3: 2 deaths
Level1: 6.94 seconds
Level1: 1 deaths
Level1: 18.94 seconds
Level1: 0 deaths
Level2: 7.69 seconds
Level2: 1 deaths
Level3: 7.55 seconds
Level3: 1 deaths
lvl2.tmx: Time: 4.61, Deaths: 0
L7.tmx: Time: 4.62, Deaths: 0
L8.tmx: Time: 4.87, Deaths: 0
L9.tmx: Time: 18.23, Deaths: 0
lvl1.tmx: Time: 6.75, Deaths: 0
lvl2.tmx: Time: 4.62, Deaths: 0
L7.tmx: Time: 4.56, Deaths: 0
L8.tmx: Time: 4.66, Deaths: 0
L9.tmx: Time: 18.26, Deaths: 0
lvl1.tmx: Time: 4.71, Deaths: 0
lvl2.tmx: Time: 8.85, Deaths: 1
L7.tmx: Time: 4.77, Deaths: 0
L8.tmx: Time: 5.57, Deaths: 0
L9.tmx: Time: 18.36, Deaths: 0
lvl1.tmx: Time: 5.12, Deaths: 0
lvl2.tmx: Time: 4.76, Deaths: 0
L7.tmx: Time: 4.74, Deaths: 0
L8.tmx: Time: 4.74, Deaths: 0
L9.tmx: Time: 18.54, Deaths: 0
lvl1.tmx: Time: 5.77, Deaths: 0
lvl2.tmx: Time: 4.63, Deaths: 0
L7.tmx: Time: 4.11, Deaths: 0
L8.tmx: Time: 5.96, Deaths: 2
L9.tmx: Time: 18.34, Deaths: 0
L10.tmx: Time: 4.85, Deaths: 1
L11.tmx: Time: 4.77, Deaths: 0
L12.tmx: Time: 7.40, Deaths: 2
lvl1.tmx: Time: 4.87, Deaths: 0
lvl2.tmx: Time: 4.49, Deaths: 0
L7.tmx: Time: 4.39, Deaths: 0
L8.tmx: Time: 5.72, Deaths: 1
L9.tmx: Time: 18.61, Deaths: 0
L10.tmx: Time: 7.40, Deaths: 3
L11.tmx: Time: 7.32, Deaths: 1
L12.tmx: Time: 6.98, Deaths: 2
lvl1.tmx: Time: 6.37, Deaths: 0
lvl2.tmx: Time: 5.43, Deaths: 0
L7.tmx: Time: 4.63, Deaths: 0
L8.tmx: Time: 4.54, Deaths: 0
L9.tmx: Time: 18.45, Deaths: 0
L10.tmx: Time: 11.80, Deaths: 0
L11.tmx: Time: 4.72, Deaths: 0
L12.tmx: Time: 9.94, Deaths: 2
lvl1.tmx: Time: 11.87, Deaths: 1
lvl2.tmx: Time: 4.70, Deaths: 0
L7.tmx: Time: 4.60, Deaths: 0
L8.tmx: Time: 4.29, Deaths: 0
L9.tmx: Time: 18.05, Deaths: 0
lvl1.tmx: Time: 5.03, Deaths: 0
lvl2.tmx: Time: 4.95, Deaths: 0
L7.tmx: Time: 4.40, Deaths: 0
L8.tmx: Time: 4.34, Deaths: 0
L9.tmx: Time: 18.33, Deaths: 0
L10.tmx: Time: 14.83, Deaths: 1
L11.tmx: Time: 4.82, Deaths: 0
L12.tmx: Time: 5.47, Deaths: 0
lvl1.tmx: Time: 19.40, Deaths: 9
lvl2.tmx: Time: 8.31, Deaths: 1
L1.tmx: Time: 7.79, Deaths: 1
L2.tmx: Time: 4.08, Deaths: 0
L3.tmx: Time: 4.27, Deaths: 0
L4.tmx: Time: 4.12, Deaths: 0
L5.tmx: Time: 13.14, Deaths: 3
L5.tmx: Time: 6.47, Deaths: 0
L6.tmx: Time: 4.44, Deaths: 0
L7.tmx: Time: 4.95, Deaths: 0
L8.tmx: Time: 4.61, Deaths: 0
